ParName   Value   Gradient
theta[3]      14.1876   0.00238364
theta[11]      9.45153  6.52377e-06
theta[12]      9.45913 -7.95967e-06
theta[13]      9.49581  7.02282e-06
theta[14]      9.61506  9.24133e-06
theta[15]      10.1051 -6.85814e-06
theta[16]      10.6991  6.79179e-07
theta[17]       11.181  6.46422e-06
theta[18]      11.4033 -3.28389e-06
theta[19]      11.5063  3.41614e-05
theta[20]      11.5497  1.06556e-05
theta[21]      11.5187  3.39683e-05
theta[22]      11.2736  4.02615e-05
theta[23]      10.9547  7.02922e-05
theta[24]      10.6795  0.000141862
theta[25]      10.7976  0.000270736
theta[26]      11.8518 -0.000184388
theta[27]      11.3655 -5.17933e-05
theta[28]      10.4038  7.57873e-05
theta[29]      9.35387 -1.63832e-05
theta[30]      8.35462 -1.52498e-05
theta[31]      7.53588  1.32888e-06
theta[32]      7.14329 -9.96531e-07
theta[33]      12.8379  0.000296618
theta[34]      13.3852  0.000112777
theta[35]      13.3586  8.73101e-05
theta[36]      13.4661   0.00011593
theta[37]      12.9443  8.56962e-05
theta[38]      13.0429  3.15443e-05
theta[39]      12.7662  9.06503e-05
theta[40]      12.5289  6.62228e-05
theta[41]      12.4876  0.000130789
theta[42]      11.9621  9.43158e-05
theta[43]       11.292  6.64732e-05
theta[44]       11.183  3.71785e-05
theta[45]      11.3561  5.67159e-05
theta[46]      10.4662  3.48155e-05
theta[47]       9.0894  2.61517e-05
theta[48]      8.03003 -5.35015e-06
theta[49]      7.26601  1.23371e-06
theta[50]      6.73283  3.28307e-06
theta[51]      6.34485  1.22997e-05
theta[52]      6.05663  2.98121e-06
theta[53]      5.85571 -4.06383e-06
theta[54]      5.75106  2.62775e-05
theta[55]       12.109  2.69504e-06
theta[56]       12.132 -8.70556e-06
theta[57]      12.1835  2.04316e-05
theta[58]      12.3335 -1.82345e-05
theta[59]      13.5113   2.3853e-05
theta[60]      13.5862 -4.66782e-05
theta[61]      12.9953 -0.000241348
theta[62]      12.1515 -0.000814689
theta[63]      11.0188  -0.00104358
theta[64]      9.96317 -0.000618939
theta[65]      9.23924 -0.000329074
theta[66]      8.81339 -0.000231896
theta[67]      8.59627 -0.000177969
theta[68]      8.53289 -0.000150015
theta[69]      8.43365  -0.00014523
theta[70]      8.24976 -9.86518e-05
theta[71]       8.0149 -8.79869e-05
theta[72]         7.78 -6.85812e-05
theta[73]      7.55169 -5.07646e-05
theta[74]       7.3338 -2.16674e-05
theta[75]      7.18232 -3.66197e-05
theta[76]       7.0943 -2.50796e-05
theta[77]     -13.8182  1.14908e-05
theta[78]     -13.8767 -6.12681e-06
theta[79]     -13.9864 -2.20028e-07
theta[80]     -14.1512 -9.58399e-06
theta[81]     -13.6618 -1.55327e-05
theta[82]     -13.4776 -1.89897e-05
