ParName   Value   Gradient
theta[3]      14.0967  -0.00639404
theta[11]      9.49024  1.05396e-06
theta[12]      9.50141 -7.97721e-07
theta[13]      9.54075 -5.88767e-06
theta[14]      9.67168  9.24686e-06
theta[15]      10.1259 -1.01355e-06
theta[16]      10.6946 -1.28284e-06
theta[17]      11.1547  9.64016e-06
theta[18]       11.374  -2.3759e-06
theta[19]      11.4775 -1.86386e-05
theta[20]      11.5229 -6.32966e-06
theta[21]      11.4931 -6.39643e-06
theta[22]      11.2498 -2.39454e-06
theta[23]      10.9344  1.79123e-05
theta[24]      10.6686  4.45445e-07
theta[25]      10.7986 -1.45368e-06
theta[26]      11.8727 -6.31721e-05
theta[27]       11.391 -3.64483e-05
theta[28]      10.4319  2.65162e-05
theta[29]      9.37988 -1.52592e-05
theta[30]      8.37917  6.61676e-06
theta[31]      7.56003 -2.03444e-05
theta[32]      7.16775  7.78865e-06
theta[33]      12.0919  6.04021e-07
theta[34]      12.2096 -2.14491e-06
theta[35]      13.0455  3.36186e-05
theta[36]      13.5683  2.95292e-05
theta[37]      12.8986 -2.14387e-05
theta[38]      13.0089  2.62772e-05
theta[39]      12.7402  3.96725e-05
theta[40]      12.5082 -7.89109e-06
theta[41]      12.4691  1.52319e-05
theta[42]      11.9552  8.76994e-06
theta[43]      11.2892 -5.64904e-06
theta[44]      11.1803  7.04364e-06
theta[45]      11.3534 -1.94441e-05
theta[46]      10.4669 -1.45876e-05
theta[47]      9.09047  4.77937e-06
theta[48]      8.03202 -1.24224e-05
theta[49]      7.26881  6.43527e-06
theta[50]      6.73663  1.18307e-06
theta[51]      6.34996 -1.09016e-05
theta[52]      6.06306 -1.89539e-06
theta[53]      5.86322 -5.24847e-06
theta[54]      5.75916 -6.21999e-07
theta[55]      12.0565  4.12433e-06
theta[56]      12.0821  3.12199e-06
theta[57]      12.1396 -2.85254e-06
theta[58]      12.3097  1.62121e-05
theta[59]      13.4931 -2.08424e-06
theta[60]        13.58 -1.77243e-05
theta[61]      12.9928 -3.19888e-05
theta[62]      12.1463  -2.9301e-05
theta[63]      11.0136 -3.47561e-05
theta[64]      9.96133 -1.91598e-05
theta[65]      9.24357 -7.26839e-06
theta[66]      8.81648  -1.5831e-05
theta[67]      8.58918 -2.57144e-05
theta[68]      8.51926 -2.36789e-05
theta[69]      8.42411 -1.23166e-05
theta[70]      8.25432 -1.30841e-05
theta[71]      8.03744 -5.68683e-06
theta[72]      7.81678 -1.79948e-05
theta[73]      7.60479 -8.37157e-06
theta[74]       7.4002  -7.1322e-06
theta[75]      7.25531 -1.47259e-05
theta[76]      7.16994 -1.24465e-05
theta[77]     -13.8188  7.45451e-06
theta[78]      -13.882 -6.03152e-06
theta[79]     -14.0004 -7.82708e-06
theta[80]     -14.1703   9.9765e-06
theta[81]     -13.6773   8.9638e-06
theta[82]      -13.483 -4.94484e-06
theta[83]     -14.5863 -9.12072e-06
theta[84]      -15.601 -9.11921e-06
theta[85]     -16.4094  3.39643e-06
theta[86]     -17.0389  5.44266e-06
theta[87]     -17.4945 -4.96835e-06
theta[88]     -17.8381 -1.08011e-06
theta[89]       -18.11   3.4268e-06
theta[90]     -18.3378  6.46221e-06
theta[91]     -18.5351   3.2632e-06
theta[92]     -18.7091 -5.94472e-06
theta[93]     -18.8633 -2.90359e-06
G_pars_est[1]      1.01016 -0.000153404
G_pars_est[2]    -0.240429  0.000482144
G_pars_est[4]     -4.77206 -0.000199687
G_pars_est[5]    -0.424988   0.00149179
M_pars_est[1]     0.284818   0.00039352
M_pars_est[2]      1.64825  8.65004e-05
M_pars_est[3]     0.250597  2.52283e-05
M_pars_est[5]    -0.143402  0.000321505
M_pars_est[7]      2.47456  0.000351864
M_pars_est[9]     0.265462  0.000146047
M_pars_est[10]     0.116444 -1.01469e-05
M_pars_est[11]      1.12971 -0.000310825
M_pars_est[13]     0.602393  7.26688e-05
M_pars_est[14]      2.14522 -0.000181949
M_pars_est[15]      5.22225  3.78319e-08
S_pars_est[1]      4.66427 -3.58243e-05
S_pars_est[2]      1.67214  5.12135e-05
S_pars_est[3]      4.77736  0.000383259
S_pars_est[4]      2.41604  3.02456e-06
S_pars_est[5]     -3.07859  1.33824e-06
S_pars_est[6]     -2.56692 -6.55275e-06
S_pars_est[7]     -2.11429 -5.60492e-06
S_pars_est[8]     -1.40274 -6.55072e-06
S_pars_est[9]     -1.38484 -1.86914e-06
S_pars_est[10]     -1.22347    1.183e-06
S_pars_est[11]    -0.945962 -9.38203e-07
S_pars_est[12]    -0.943442 -4.20195e-06
S_pars_est[13]     -1.07936  1.40007e-06
S_pars_est[14]     -1.06319 -1.93684e-06
S_pars_est[15]      -1.0076 -5.37359e-06
S_pars_est[16]    -0.976962  3.04438e-06
S_pars_est[17]    -0.962636 -1.76058e-06
S_pars_est[18]    -0.859838  2.34566e-07
S_pars_est[19]    -0.851006  2.45048e-06
S_pars_est[20]    -0.985627 -2.90421e-06
S_pars_est[21]    -0.849981  3.13512e-06
S_pars_est[22]    -0.751236  3.41805e-06
S_pars_est[23]    -0.521224  1.60784e-06
S_pars_est[24]    -0.338793 -1.78348e-07
S_pars_est[25]    -0.249964 -5.58192e-06
S_pars_est[26]    -0.342831  3.45822e-06
S_pars_est[27]     -4.21623 -1.10038e-05
S_pars_est[28]     -3.14827 -2.63651e-05
S_pars_est[29]     -2.47218   3.3247e-06
