ParName   Value   Gradient
T_pars_est[3]      14.3598   -0.0120238
T_pars_est[11]      9.64253 -1.06706e-05
T_pars_est[12]      9.65314  1.65448e-05
T_pars_est[13]      9.68911  1.75269e-05
T_pars_est[14]      9.80677  1.89195e-05
T_pars_est[15]      10.2431  2.21188e-05
T_pars_est[16]       10.787 -1.29471e-05
T_pars_est[17]      11.2205  2.83104e-05
T_pars_est[18]      11.4207  2.12817e-07
T_pars_est[19]       11.511 -4.85004e-05
T_pars_est[20]       11.545  -1.3981e-05
T_pars_est[21]      11.5075  1.98416e-05
T_pars_est[22]      11.2643 -2.24478e-06
T_pars_est[23]       10.954  2.90979e-05
T_pars_est[24]      10.6933  7.34994e-05
T_pars_est[25]       10.823  0.000106597
T_pars_est[26]      11.8813 -0.000186349
T_pars_est[27]      11.3796 -0.000344582
T_pars_est[28]       10.412  2.36732e-06
T_pars_est[29]       9.3608 -0.000106523
T_pars_est[30]      8.36294 -5.57745e-05
T_pars_est[31]      7.54572  2.63002e-06
T_pars_est[32]      7.15361 -2.86026e-06
T_pars_est[33]      12.3198  -2.6736e-05
T_pars_est[34]      12.4441  7.44461e-06
T_pars_est[35]      13.2658 -3.81811e-05
T_pars_est[36]      13.7562 -7.57472e-05
T_pars_est[37]        13.08 -0.000112734
T_pars_est[38]      13.1673  -0.00015056
T_pars_est[39]      12.8808 -0.000157655
T_pars_est[40]      12.6411 -0.000151073
T_pars_est[41]      12.5892  -0.00017032
T_pars_est[42]      12.0624 -0.000115565
T_pars_est[43]       11.391 -0.000108563
T_pars_est[44]      11.2724 -7.77744e-05
T_pars_est[45]       11.425 -0.000127995
T_pars_est[46]      10.5125 -9.29888e-05
T_pars_est[47]      9.13152 -9.12859e-06
T_pars_est[48]      8.07277 -4.39579e-06
T_pars_est[49]      7.30998   -1.196e-06
T_pars_est[50]      6.77773 -4.49573e-06
T_pars_est[51]      6.39015   3.4128e-06
T_pars_est[52]      6.10185 -1.02212e-06
T_pars_est[53]      5.90062  2.68611e-05
T_pars_est[54]      5.79574 -3.28344e-05
T_pars_est[55]      12.2114 -1.05816e-06
T_pars_est[56]       12.231 -3.54393e-07
T_pars_est[57]      12.2779  9.75755e-06
T_pars_est[58]       12.385 -4.11154e-05
T_pars_est[59]      13.5345 -4.60366e-05
T_pars_est[60]      13.6037  1.89332e-06
T_pars_est[61]      12.9976 -8.21283e-05
T_pars_est[62]      12.1494 -3.01503e-05
T_pars_est[63]      11.0169  3.07021e-05
T_pars_est[64]      9.95851  1.21742e-05
T_pars_est[65]      9.22913 -3.03593e-05
T_pars_est[66]      8.80224 -6.34643e-05
T_pars_est[67]       8.5932 -3.43986e-05
T_pars_est[68]       8.5389 -8.10401e-05
T_pars_est[69]      8.43927 -2.82556e-05
T_pars_est[70]      8.24214 -3.91346e-05
T_pars_est[71]      7.98701 -4.67064e-05
T_pars_est[72]      7.73306 -2.33263e-05
T_pars_est[73]      7.49294 -6.13632e-05
T_pars_est[74]      7.26585 -0.000101271
T_pars_est[75]      7.10934 -4.28484e-05
T_pars_est[76]      7.01816 -4.67699e-06
T_pars_est[77]     -13.8073  1.00788e-05
T_pars_est[78]     -13.8578  1.56054e-06
T_pars_est[79]     -13.9522 -8.03018e-06
T_pars_est[80]     -14.1053 -1.92856e-05
T_pars_est[81]     -13.6378  2.16154e-05
T_pars_est[82]     -13.4632  1.44927e-05
T_pars_est[83]     -14.5894  3.97571e-06
T_pars_est[84]     -15.6108 -1.98772e-05
T_pars_est[85]     -16.4195  2.40171e-05
T_pars_est[86]      -17.048  8.09449e-06
T_pars_est[87]     -17.5017  7.76056e-06
T_pars_est[88]     -17.8433  1.09906e-05
T_pars_est[89]     -18.1137 -5.01234e-05
T_pars_est[90]     -18.3404  1.86234e-05
T_pars_est[91]     -18.5368  1.43625e-05
T_pars_est[92]       -18.71 -7.90083e-06
T_pars_est[93]     -18.8638 -2.02146e-07
G_pars_est[1]     0.986988 -0.000236087
G_pars_est[2]    -0.240963  0.000683954
G_pars_est[4]     -4.79672 -0.000277739
G_pars_est[5]    -0.425844   0.00211706
M_pars_est[1]     0.284525  0.000647984
M_pars_est[2]      1.58398  0.000231848
M_pars_est[3]     0.363977   1.6111e-05
M_pars_est[5]    0.0524871  0.000501989
M_pars_est[7]      2.29806  0.000677575
M_pars_est[9]     0.265304  0.000357485
M_pars_est[10]    -0.438001 -4.02801e-05
M_pars_est[11]      1.13397 -0.000220497
M_pars_est[13]     0.903316  0.000199133
M_pars_est[14]      1.91145 -0.000357798
M_pars_est[15]     0.852395 -0.000120782
S_pars_est[1]      4.66513  0.000828321
S_pars_est[2]      1.65733 -0.000110292
S_pars_est[3]      4.77565  0.000741297
S_pars_est[4]      2.38611   -0.0004005
S_pars_est[5]     -3.26379 -5.95398e-06
S_pars_est[6]     -2.77389   1.5001e-06
S_pars_est[7]     -2.32012 -4.29504e-06
S_pars_est[8]     -1.55575 -4.17245e-06
S_pars_est[9]      -1.5267 -6.43275e-06
S_pars_est[10]     -1.33741   2.8008e-06
S_pars_est[11]      -1.0316 -1.10174e-05
S_pars_est[12]     -1.01104 -1.56537e-05
S_pars_est[13]     -1.13398  5.19097e-06
S_pars_est[14]     -1.10379  4.09181e-07
S_pars_est[15]     -1.03744  1.92554e-08
S_pars_est[16]     -1.00059  2.55124e-06
S_pars_est[17]    -0.980744 -1.97288e-06
S_pars_est[18]    -0.872451  1.68955e-06
S_pars_est[19]    -0.862555 -2.81358e-06
S_pars_est[20]    -0.992707 -9.90341e-06
S_pars_est[21]    -0.850382 -9.75746e-06
S_pars_est[22]    -0.749282  3.15149e-06
S_pars_est[23]    -0.518222 -2.42442e-06
S_pars_est[24]    -0.334592  8.32006e-08
S_pars_est[25]    -0.241637  4.13084e-06
S_pars_est[26]    -0.322208 -1.00135e-05
S_pars_est[27]     -4.33294  1.07387e-05
S_pars_est[28]     -3.47245  3.30947e-05
S_pars_est[29]     -2.78767 -3.15672e-05
S_pars_est[30]     -1.95177  1.21745e-05
S_pars_est[31]     -1.74432 -6.02574e-05
S_pars_est[32]     -1.51331 -3.84385e-05
S_pars_est[33]     -1.27626 -1.57135e-05
S_pars_est[34]     -1.18583 -3.84383e-05
S_pars_est[35]     -1.24265  1.20518e-05
S_pars_est[36]     -1.25111 -1.86744e-05
S_pars_est[37]     -1.22426  1.06839e-05
S_pars_est[38]     -1.17058  1.05702e-06
S_pars_est[39]     -1.13465 -1.44069e-05
S_pars_est[40]    -0.991641 -9.13511e-06
S_pars_est[41]    -0.783987  2.37208e-05
S_pars_est[42]    -0.463383  1.10936e-05
S_pars_est[43]    -0.319563 -2.29763e-06
S_pars_est[44]    -0.207168 -1.79591e-06
S_pars_est[45]    -0.165587  3.14008e-06
S_pars_est[46]    -0.135964 -5.47075e-08
S_pars_est[47]     -0.12549  2.43697e-05
S_pars_est[48]    -0.159096 -6.28925e-06
S_pars_est[49]      4.21337   0.00320002
S_pars_est[50]       0.9951 -0.000315092
S_pars_est[51]     -5.18558 -7.90935e-06
S_pars_est[52]     -5.33669 -1.16555e-06
S_pars_est[53]     -4.26127  6.42574e-05
S_pars_est[54]     -1.74438 -4.69473e-05
S_pars_est[55]      -1.1621  5.55996e-06
S_pars_est[56]    -0.555343  4.82435e-08
S_pars_est[57]    -0.554607 -2.73175e-05
S_pars_est[58]    -0.760555  3.44859e-06
S_pars_est[59]    -0.834624  2.88321e-05
S_pars_est[60]    -0.922804 -1.89363e-05
S_pars_est[61]    -0.909925  2.89649e-06
S_pars_est[62]    -0.871211  4.18696e-06
S_pars_est[63]    -0.838026 -1.85129e-06
S_pars_est[64]    -0.790939  7.01122e-07
S_pars_est[65]    -0.721357 -1.92091e-07
S_pars_est[66]    -0.631054  2.54125e-06
S_pars_est[67]    -0.529412  4.84119e-06
S_pars_est[68]     -0.42354  7.83934e-07
S_pars_est[69]    -0.314027 -2.26345e-06
S_pars_est[70]    -0.199514 -4.02353e-06
S_pars_est[71]   -0.0830137  1.24838e-06
S_pars_est[73]      -3.8757   6.2236e-06
S_pars_est[74]     -3.24336 -0.000101899
S_pars_est[75]     -2.61886  8.23814e-05
S_pars_est[76]    -0.944103 -1.04618e-05
S_pars_est[77]    -0.480502 -1.08553e-06
S_pars_est[78]     -0.22519 -2.07333e-05
S_pars_est[79]    -0.348348  2.24862e-05
S_pars_est[80]    -0.928573 -3.19711e-05
S_pars_est[81]     -1.08668  2.23822e-06
S_pars_est[82]     -1.31624 -5.69825e-06
S_pars_est[83]     -1.29093 -3.28479e-06
S_pars_est[84]    -0.965635  -1.5605e-05
S_pars_est[85]    -0.828351    -6.61e-06
S_pars_est[86]      -0.7779 -8.52068e-06
S_pars_est[87]    -0.710698  2.96469e-06
S_pars_est[88]    -0.623379  4.12319e-06
S_pars_est[89]      -0.5242 -3.37867e-06
S_pars_est[90]    -0.419937 -2.46769e-08
S_pars_est[91]    -0.311313 -3.76145e-06
S_pars_est[92]    -0.197208  1.17045e-06
S_pars_est[93]   -0.0805094  2.92736e-06
S_pars_est[95]       4.5959  -0.00357203
S_pars_est[96]     0.314633   0.00031485
log_fbar[1]    -0.232682  -0.00298805
log_fbar[2]     -5.23197 -0.000788099
log_fdev[1](1)      -1.4254  -3.6464e-05
