ParName   Value   Gradient
T_pars_est[3]      14.3817  -0.00554801
T_pars_est[11]      9.82973 -1.67029e-05
T_pars_est[12]      9.83636  3.27654e-05
T_pars_est[13]      9.86528  1.94445e-06
T_pars_est[14]      9.98304  1.44976e-05
T_pars_est[15]      10.4539  -1.3491e-05
T_pars_est[16]      11.0336  2.87083e-05
T_pars_est[17]      11.4714 -1.62183e-06
T_pars_est[18]      11.6587 -8.78116e-06
T_pars_est[19]      11.7518  6.40205e-07
T_pars_est[20]      11.7964 -2.55977e-06
T_pars_est[21]      11.7666  1.08438e-05
T_pars_est[22]      11.5138  8.40691e-06
T_pars_est[23]        11.17 -5.46008e-06
T_pars_est[24]      10.8083  1.81919e-05
T_pars_est[25]       10.785  6.11782e-05
T_pars_est[26]      11.5308 -6.43977e-06
T_pars_est[27]      11.0498 -1.58721e-05
T_pars_est[28]      10.2355   3.8782e-05
T_pars_est[29]      9.24059  2.60288e-05
T_pars_est[30]       8.2533  -5.6965e-06
T_pars_est[31]      7.43822  1.06389e-05
T_pars_est[32]      7.03993  3.09447e-06
T_pars_est[33]      12.3422  2.80335e-05
T_pars_est[34]      12.4597   2.5252e-05
T_pars_est[35]      13.3061  8.94312e-05
T_pars_est[36]      13.7871  0.000188642
T_pars_est[37]      13.0688  0.000108985
T_pars_est[38]      13.1495  0.000163539
T_pars_est[39]      12.8638  0.000135978
T_pars_est[40]      12.6163  0.000158941
T_pars_est[41]       12.532  0.000159316
T_pars_est[42]      11.9943  0.000134095
T_pars_est[43]      11.3821  8.24465e-05
T_pars_est[44]        11.31  5.29348e-05
T_pars_est[45]      11.3783   8.5168e-05
T_pars_est[46]      10.3362  5.84923e-05
T_pars_est[47]      8.98415  2.30388e-05
T_pars_est[48]      7.97981  8.46099e-06
T_pars_est[49]       7.2315  8.18661e-06
T_pars_est[50]      6.68782 -1.81074e-05
T_pars_est[51]      6.28749  1.58781e-05
T_pars_est[52]      5.98796  2.09368e-06
T_pars_est[53]      5.77765 -7.01638e-06
T_pars_est[54]      5.66799  3.08363e-06
T_pars_est[55]      12.1558  1.18463e-05
T_pars_est[56]      12.1749 -3.79869e-05
T_pars_est[57]      12.2221 -3.88181e-06
T_pars_est[58]      12.3622  9.03986e-06
T_pars_est[59]      13.5228 -9.56744e-06
T_pars_est[60]       13.585 -4.17888e-06
T_pars_est[61]      12.9922   5.9922e-06
T_pars_est[62]       12.153  2.54383e-05
T_pars_est[63]      11.0257 -8.37096e-06
T_pars_est[64]      9.97229 -2.29753e-05
T_pars_est[65]      9.24636 -8.66967e-06
T_pars_est[66]      8.82714 -7.57777e-07
T_pars_est[67]      8.62827 -2.65264e-05
T_pars_est[68]      8.57712 -2.07292e-05
T_pars_est[69]      8.47821 -3.06296e-05
T_pars_est[70]      8.27963 -3.04053e-05
T_pars_est[71]      8.02151 -3.15156e-05
T_pars_est[72]      7.76426 -7.55211e-06
T_pars_est[73]      7.52114  -3.8641e-06
T_pars_est[74]      7.29124 -7.13447e-06
T_pars_est[75]       7.1336  1.44386e-05
T_pars_est[76]      7.04179 -1.69007e-06
T_pars_est[77]     -13.8259  1.55833e-05
T_pars_est[78]      -13.877 -1.56332e-05
T_pars_est[79]     -13.9744 -5.67326e-06
T_pars_est[80]     -14.1297 -1.70722e-05
T_pars_est[81]     -13.6463  2.28741e-05
T_pars_est[82]     -13.4763  5.09878e-06
T_pars_est[83]     -14.5969  3.10729e-06
T_pars_est[84]     -15.6167 -2.58247e-05
T_pars_est[85]      -16.423  7.60074e-06
T_pars_est[86]     -17.0497  -1.2875e-06
T_pars_est[87]     -17.5026 -9.51875e-06
T_pars_est[88]     -17.8438 -8.84149e-06
T_pars_est[89]      -18.114 -6.05566e-06
T_pars_est[90]     -18.3405  9.33513e-06
T_pars_est[91]     -18.5369 -1.18531e-06
T_pars_est[92]     -18.7101  4.16063e-06
T_pars_est[93]     -18.8638 -7.64548e-06
G_pars_est[1]     0.979136 -0.000100006
G_pars_est[2]    -0.241502  0.000261202
G_pars_est[4]     -4.80561 -8.62501e-05
G_pars_est[5]    -0.426172  0.000521621
M_pars_est[1]      0.29311  0.000469212
M_pars_est[2]      1.46112  0.000115288
M_pars_est[3]     0.111964   1.6007e-05
M_pars_est[5]   0.00658718  0.000481127
M_pars_est[7]      2.27041  0.000603003
M_pars_est[9]     0.268118 -0.000113904
M_pars_est[10]     -0.74652  9.08631e-06
M_pars_est[11]     0.938929 -8.75471e-05
M_pars_est[13]            1 -1.71823e-06
M_pars_est[14]      1.62703  1.02723e-05
M_pars_est[15]      7.15157  1.57158e-07
S_pars_est[1]      4.66165   -0.0015019
S_pars_est[2]      1.63679  0.000326067
S_pars_est[3]      4.77953   0.00053183
S_pars_est[4]      2.38181 -0.000375854
S_pars_est[5]     -3.31182 -5.59932e-07
S_pars_est[6]     -2.77569  -6.2354e-07
S_pars_est[7]     -2.29918 -3.33636e-06
S_pars_est[8]      -1.5534  6.63218e-06
S_pars_est[9]     -1.52791 -1.02533e-05
S_pars_est[10]     -1.34399  2.56545e-05
