ParName   Value   Gradient
T_pars_est[3]      14.2492  -0.00355011
T_pars_est[11]      9.49126 -5.70088e-06
T_pars_est[12]      9.49929 -9.68936e-06
T_pars_est[13]      9.53215  1.12074e-05
T_pars_est[14]      9.65146  1.25168e-05
T_pars_est[15]      10.1347 -8.12995e-06
T_pars_est[16]      10.7234  1.52987e-05
T_pars_est[17]      11.1983 -2.23048e-05
T_pars_est[18]      11.4112  6.45022e-06
T_pars_est[19]      11.5087 -1.39236e-05
T_pars_est[20]      11.5485  4.77735e-06
T_pars_est[21]      11.5144  6.01279e-06
T_pars_est[22]      11.2712 -3.63712e-06
T_pars_est[23]      10.9571  1.72229e-05
T_pars_est[24]      10.6857  8.49253e-05
T_pars_est[25]      10.8074  0.000121765
T_pars_est[26]      11.8597  0.000166415
T_pars_est[27]      11.3641  -0.00019513
T_pars_est[28]      10.3995 -7.22991e-06
T_pars_est[29]      9.34337 -7.51812e-05
T_pars_est[30]      8.33941  -1.0375e-05
T_pars_est[31]      7.52383  1.93297e-06
T_pars_est[32]      7.12978 -1.30985e-05
T_pars_est[33]      12.8728 -7.78198e-06
T_pars_est[34]      13.4158 -4.33204e-05
T_pars_est[35]      13.3825 -4.40688e-05
T_pars_est[36]      13.4872 -5.09164e-05
T_pars_est[37]      12.9635 -4.91236e-05
T_pars_est[38]       13.056 -5.30211e-05
T_pars_est[39]      12.7774 -9.19744e-06
T_pars_est[40]      12.5366 -1.85783e-07
T_pars_est[41]      12.4868 -3.18398e-06
T_pars_est[42]      11.9628  3.46194e-05
T_pars_est[43]      11.2974  1.92251e-05
T_pars_est[44]      11.1846 -8.39688e-06
T_pars_est[45]      11.3462 -7.19528e-05
T_pars_est[46]      10.4465 -2.43557e-05
T_pars_est[47]      9.07112 -3.45217e-06
T_pars_est[48]      8.01127 -4.26475e-06
T_pars_est[49]      7.24705 -4.84768e-06
T_pars_est[50]      6.71355  5.26905e-06
T_pars_est[51]      6.32527 -4.40629e-06
T_pars_est[52]      6.03706 -6.10169e-06
T_pars_est[53]      5.83606  -1.7919e-06
T_pars_est[54]      5.73142   1.0661e-05
T_pars_est[55]      11.0426  9.74888e-06
T_pars_est[56]      11.0963 -9.23261e-06
T_pars_est[57]      11.1858 -3.87093e-06
T_pars_est[58]      11.6366 -9.12015e-06
T_pars_est[59]      13.0652  6.83962e-06
T_pars_est[60]      13.6044  3.22274e-05
T_pars_est[61]      13.2467 -8.94428e-05
T_pars_est[62]      12.3914 -0.000370194
T_pars_est[63]      11.3982 -0.000430842
T_pars_est[64]      10.3194 -0.000264669
T_pars_est[65]       9.5327 -0.000151677
T_pars_est[66]      9.04319 -0.000102391
T_pars_est[67]      8.77568 -6.84416e-05
T_pars_est[68]      8.66859 -7.78527e-05
T_pars_est[69]      8.53707 -6.15026e-05
T_pars_est[70]      8.32497 -6.70437e-05
T_pars_est[71]      8.06769 -4.75493e-05
T_pars_est[72]      7.81499 -2.61091e-05
T_pars_est[73]      7.57633 -4.22702e-05
T_pars_est[74]      7.34993 -6.17208e-05
T_pars_est[75]      7.19136 -2.73722e-05
T_pars_est[76]      7.09856 -3.85004e-05
T_pars_est[77]     -13.2626   -4.693e-06
T_pars_est[78]      -13.463  4.19544e-06
T_pars_est[79]     -13.5382 -9.19806e-06
T_pars_est[80]     -13.4757  5.74926e-06
T_pars_est[81]     -12.8816 -1.26196e-06
T_pars_est[82]     -14.1997 -1.33993e-05
T_pars_est[83]     -15.3722  -4.2012e-06
T_pars_est[84]     -16.2639  2.58051e-06
T_pars_est[85]     -16.9297 -6.95803e-07
T_pars_est[86]     -17.3928 -7.44879e-08
T_pars_est[87]     -17.7155  5.59922e-07
T_pars_est[88]     -17.9861  3.53356e-06
T_pars_est[89]     -18.2099  1.44317e-06
T_pars_est[90]     -18.4084 -1.76041e-06
T_pars_est[91]     -18.5832  2.92071e-06
T_pars_est[92]     -18.7388   1.1832e-06
T_pars_est[93]     -18.8773  -1.3708e-06
G_pars_est[1]     0.993292 -0.000494247
G_pars_est[2]    -0.240766   0.00141847
G_pars_est[4]     -4.81053  0.000499938
G_pars_est[5]    -0.426345  -0.00324489
M_pars_est[1]     0.285352  0.000324864
M_pars_est[2]      1.59852  0.000191407
M_pars_est[3]      0.21302 -6.78795e-05
M_pars_est[5]   -0.0534658  0.000297263
M_pars_est[7]      2.39859 -7.65542e-05
M_pars_est[9]     0.266196 -2.83746e-05
M_pars_est[10]    0.0490636 -9.85006e-06
M_pars_est[11]      1.01093 -1.19043e-05
M_pars_est[13]     0.834355 -3.73408e-05
M_pars_est[14]      1.72486 -6.78666e-05
M_pars_est[15]     0.533507  5.45046e-06
S_pars_est[1]      4.66741  -0.00287927
S_pars_est[2]      1.67569  0.000975677
S_pars_est[3]      4.78214   -0.0002157
S_pars_est[4]      2.40464  6.19135e-05
S_pars_est[5]      -3.2595  6.57638e-06
S_pars_est[6]      -2.5605 -3.76977e-07
S_pars_est[7]     -2.18816  1.19006e-05
S_pars_est[8]     -1.40547  6.82112e-07
S_pars_est[9]     -1.47206  4.52976e-06
S_pars_est[10]     -1.27928  5.39668e-06
S_pars_est[11]     -1.00337  9.98316e-07
S_pars_est[12]    -0.991912 -3.29624e-07
S_pars_est[13]     -1.11307 -9.48357e-07
S_pars_est[14]     -1.08504 -6.13129e-06
S_pars_est[15]      -1.0216 -3.96993e-06
S_pars_est[16]    -0.988578 -8.71038e-06
S_pars_est[17]    -0.968512 -4.31841e-06
S_pars_est[18]    -0.862782  4.33442e-06
S_pars_est[19]    -0.849716 -1.72341e-06
S_pars_est[20]    -0.970123 -8.92651e-06
S_pars_est[21]    -0.830733 -9.74734e-06
S_pars_est[22]    -0.725359 -3.40905e-06
S_pars_est[23]    -0.505878 -1.93934e-06
S_pars_est[24]     -0.32697 -5.52399e-07
S_pars_est[25]    -0.233063 -1.89717e-06
S_pars_est[26]    -0.310775  5.04032e-07
S_pars_est[27]     -4.17692 -9.74985e-06
S_pars_est[28]     -3.25273  3.91571e-05
S_pars_est[29]     -2.58817 -3.29454e-05
S_pars_est[30]     -1.86562  3.58688e-05
S_pars_est[31]     -1.62079  7.29219e-06
S_pars_est[32]     -1.41647 -1.22895e-06
S_pars_est[33]     -1.19257 -1.47512e-05
S_pars_est[34]     -1.10923  -1.7083e-05
S_pars_est[35]     -1.17414 -5.90589e-06
S_pars_est[36]     -1.18442 -1.25954e-05
S_pars_est[37]     -1.15638 -1.08916e-05
S_pars_est[38]     -1.11114 -3.00562e-05
S_pars_est[39]     -1.08406 -1.23036e-05
S_pars_est[40]    -0.940021  -7.1106e-06
S_pars_est[41]    -0.737547  1.97134e-05
S_pars_est[42]    -0.430534  5.67871e-06
S_pars_est[43]    -0.297342 -7.25382e-06
S_pars_est[44]     -0.19094 -1.02395e-05
S_pars_est[45]    -0.154029  2.11961e-06
S_pars_est[46]    -0.123974  2.73791e-06
S_pars_est[47]    -0.109874    3.288e-05
S_pars_est[48]    -0.127784 -1.56599e-06
S_pars_est[49]      4.21082  0.000372148
S_pars_est[50]     0.993747  4.05702e-05
S_pars_est[51]     -3.41401  2.57958e-05
S_pars_est[52]     -3.78992  1.17402e-05
S_pars_est[53]     -2.61971 -2.44074e-06
S_pars_est[54]     -1.38357 -5.31655e-06
S_pars_est[55]     -1.10988 -4.19222e-06
S_pars_est[56]    -0.528524 -6.53256e-06
S_pars_est[57]    -0.569791 -6.80436e-06
S_pars_est[58]    -0.730966 -8.96476e-06
S_pars_est[59]    -0.793996 -1.00435e-06
S_pars_est[60]    -0.897469 -1.13162e-05
S_pars_est[61]    -0.890144 -5.26216e-06
S_pars_est[62]    -0.863488  1.97275e-06
S_pars_est[63]    -0.834999 -2.87449e-06
S_pars_est[64]     -0.79224 -3.69677e-06
S_pars_est[65]    -0.722463  3.37047e-06
S_pars_est[66]    -0.631822   3.1404e-06
S_pars_est[67]    -0.529988  9.62127e-07
S_pars_est[68]    -0.423991  3.01128e-06
S_pars_est[69]    -0.314335  -5.2867e-07
S_pars_est[70]    -0.199729  5.78812e-06
S_pars_est[71]    -0.083191   6.2639e-06
S_pars_est[73]     -2.61902  1.02034e-06
S_pars_est[74]     -2.84513 -3.97121e-05
S_pars_est[75]     -1.81393 -2.28543e-05
S_pars_est[76]    -0.967752  3.84281e-06
S_pars_est[77]    -0.708203  1.40189e-05
S_pars_est[78]    -0.252612  2.12222e-06
S_pars_est[79]    -0.272234  2.63357e-05
S_pars_est[80]    -0.827803  1.53039e-05
S_pars_est[81]    -0.972326  2.45908e-06
S_pars_est[82]     -1.14189 -2.02045e-06
S_pars_est[83]     -1.23156 -8.20085e-06
S_pars_est[84]    -0.958724  2.25955e-06
S_pars_est[85]    -0.827514  5.80754e-06
S_pars_est[86]    -0.777875 -1.51954e-05
S_pars_est[87]    -0.710711 -4.67124e-06
S_pars_est[88]    -0.623393  3.25449e-06
S_pars_est[89]     -0.52421 -4.93632e-06
S_pars_est[90]    -0.419944  2.59916e-06
S_pars_est[91]    -0.311318 -8.92982e-07
S_pars_est[92]    -0.197212 -3.97445e-07
S_pars_est[93]   -0.0805131  7.20106e-06
S_pars_est[95]       4.5957   0.00659756
S_pars_est[96]     0.295081  0.000233936
log_fbar[1]     -0.20875  0.000230471
log_fbar[2]     -5.21256  0.000163408
log_fdev[1](1)     -1.41307  -8.6939e-05
log_fdev[1](2)     -1.77797  -0.00016703
log_fdev[1](3)      -1.1347 -8.72185e-05
log_fdev[1](4)    -0.771305 -0.000109427
log_fdev[1](5)    -0.635208   -0.0003041
log_fdev[1](6)    -0.268826 -0.000197497
log_fdev[1](7)    -0.201851 -6.36035e-05
log_fdev[1](8)    -0.153628 -5.97487e-05
log_fdev[1](9)     0.881632 -4.33094e-05
log_fdev[1](10)     0.393554  0.000142958
log_fdev[1](11)     0.709629  0.000264015
log_fdev[1](12)     0.826448  0.000239214
log_fdev[1](13)     0.501462 -2.08485e-05
log_fdev[1](14)     0.522904 -0.000168761
log_fdev[1](15)     0.563203 -0.000160301
log_fdev[1](16)     0.475165 -4.72691e-05
log_fdev[1](17)      1.05337 -6.20346e-05
log_fdev[1](18)    -0.390603 -6.51106e-05
log_fdev[1](19)    -0.415552  0.000112781
log_fdev[1](20)     0.177379  0.000148038
log_fdev[1](21)     0.287443  9.62794e-05
log_fdev[1](22)    -0.361788  5.20373e-05
log_fdev[1](23)    -0.570913  0.000123598
log_fdev[1](24)    -0.765003  0.000147551
log_fdev[1](25)    -0.159433  9.74815e-05
log_fdev[1](26)     0.180632  9.87219e-05
log_fdev[1](27)   -0.0900725  0.000177111
log_fdev[1](28)    -0.414634  4.54564e-05
log_fdev[1](29)    -0.740595  0.000152318
log_fdev[1](30)   -0.0317504  0.000249375
log_fdev[1](31)     0.395605  0.000100755
log_fdev[1](32)     0.599087  3.04394e-05
log_fdev[1](33)      1.03334 -5.06691e-05
log_fdev[1](34)     0.984222 -5.41351e-05
log_fdev[1](35)       0.4809  0.000213153
log_fdev[1](36)     0.221163  0.000190071
log_fdev[1](37)      1.11079 -0.000900477
log_fdev[1](38)     0.325795 -0.000136045
log_fdev[1](39)     0.850907  0.000445792
log_fdev[1](40)     -1.07562 -0.000166208
log_fdev[1](41)     -1.20211 -0.000281617
log_fdev[2](1)     0.195798 -7.15682e-06
log_fdev[2](2)     0.104425  1.44804e-05
log_fdev[2](3)    -0.075061  2.13819e-06
log_fdev[2](4)    -0.254015 -4.73234e-06
log_fdev[2](5)     -9.20589 -5.23295e-06
log_fdev[2](6)      -5.0677 -6.03419e-06
log_fdev[2](7)     -5.46929 -2.47578e-06
log_fdev[2](8)     -1.59023 -4.31207e-06
log_fdev[2](9)    -0.287227  2.42492e-05
log_fdev[2](10)      2.16873  2.75285e-05
log_fdev[2](11)      1.67538  1.17252e-05
log_fdev[2](12)      1.53295  7.08274e-06
log_fdev[2](13)      1.35935 -4.74544e-06
log_fdev[2](14)      1.63761 -1.30528e-05
log_fdev[2](15)      1.45937  6.25491e-06
log_fdev[2](16)     0.732739 -3.97829e-06
log_fdev[2](17)     0.836495  7.45822e-06
log_fdev[2](18)     0.305518  1.94957e-05
log_fdev[2](19)     0.549851  1.73706e-05
log_fdev[2](20)      0.54873  1.44064e-05
log_fdev[2](21)     0.138926  2.80189e-05
log_fdev[2](22)     0.145167  1.34716e-05
log_fdev[2](23)     0.111771  1.97976e-06
log_fdev[2](24)     0.053629  1.64941e-05
log_fdev[2](25)     0.796057  3.33761e-05
log_fdev[2](26)     0.512603  1.90199e-05
log_fdev[2](27)    -0.135876  1.92721e-05
log_fdev[2](28)     0.488782  7.78733e-06
log_fdev[2](29)    -0.953788 -1.48461e-05
log_fdev[2](30)     -0.53883 -3.03754e-06
log_fdev[2](31)  -0.00755527  4.05986e-06
log_fdev[2](32)     0.214945 -1.84561e-05
log_fdev[2](33)      1.77062 -3.69611e-05
log_fdev[2](34)      2.98902 -1.86146e-05
log_fdev[2](35)    -0.711463  5.01157e-05
log_fdev[2](36)    0.0777861  6.56678e-05
log_fdev[2](37)      1.62825 -7.03612e-05
log_fdev[2](38)     0.430749  3.88503e-05
log_fdev[2](39)     0.807586  6.81005e-05
log_fdev[2](40)     0.459953  8.55762e-06
log_fdev[2](41)     -0.19241 -2.05876e-06
log_fdev[2](42)     0.491658 -4.02688e-06
log_fdev[2](43)     0.264885 -3.37892e-05
log_foff[1]     -6.90766 -0.000268682
log_fdov[1](1)      1.24889 -0.000162203
log_fdov[1](2)      1.52449 -0.000180876
log_fdov[1](3)      1.13814 -0.000129609
log_fdov[1](4)        1.004 -0.000142606
log_fdov[1](5)      1.76383 -0.000263846
log_fdov[1](6)      1.43596 -0.000212033
log_fdov[1](7)     0.828202    -7.79e-05
log_fdov[1](8)     0.614099  3.14873e-05
log_fdov[1](9)      2.81103  1.51303e-05
log_fdov[1](10)      1.26606  1.08093e-05
log_fdov[1](11)      1.42397  3.26008e-05
log_fdov[1](12)      0.60508  7.14914e-05
log_fdov[1](13)     0.694793   4.6442e-05
log_fdov[1](14)    -0.519875  4.52034e-05
log_fdov[1](15)      1.00208  6.55295e-05
log_fdov[1](16)      1.04556  4.51662e-05
log_fdov[1](17)     -2.03836  3.86944e-05
log_fdov[1](18)     -0.38234  1.58518e-05
log_fdov[1](19)     -2.31321  2.91663e-05
log_fdov[1](20)     0.147928  6.13993e-05
log_fdov[1](21)     -1.96776  4.03867e-05
log_fdov[1](22)     -2.03748  3.52426e-05
log_fdov[1](23)     -1.17613  4.41367e-05
log_fdov[1](24)    -0.770055  6.70089e-05
log_fdov[1](25)     -2.71211 -3.06123e-06
log_fdov[1](26)    -0.264784 -1.00125e-05
log_fdov[1](27)     0.111142  2.40772e-05
log_fdov[1](28)     0.287762  2.61231e-05
log_fdov[1](29)     0.601587  4.41158e-05
log_fdov[1](30)      2.40727  8.37701e-05
log_fdov[1](31)     0.510653  3.60334e-05
log_fdov[1](32)      1.07526  8.07528e-05
log_fdov[1](33)      1.71992  8.10836e-05
log_fdov[1](34)     0.912679  5.45259e-05
log_fdov[1](35)     0.298434  2.45776e-05
log_fdov[1](36)     0.418971  -2.4421e-05
log_fdov[1](37)     -1.00161 -4.64911e-05
log_fdov[1](38)     0.234895 -0.000175592
log_fdov[1](39)     -3.23286 -0.000116851
log_fdov[1](40)     -3.99115 -7.72775e-05
log_fdov[1](41)     -4.72496  0.000103094
rec_dev_est(1982)     0.234507 -0.000246428
rec_dev_est(1983)    0.0403448 -0.000134164
rec_dev_est(1984)     0.872065 -6.16577e-05
