ParName   Value   Gradient
T_pars_est[3]      15.0511   0.00137943
T_pars_est[11]      10.6868  2.15869e-06
T_pars_est[12]      10.6945 -3.36601e-06
T_pars_est[13]       10.726 -6.31788e-06
T_pars_est[14]      10.8433  2.72235e-06
T_pars_est[15]      11.3033  6.55162e-06
T_pars_est[16]      11.8469  1.54421e-06
T_pars_est[17]       12.219  1.84279e-06
T_pars_est[18]      12.3484 -4.90047e-06
T_pars_est[19]      12.3762  3.01016e-06
T_pars_est[20]      12.3478 -5.65649e-07
T_pars_est[21]      12.2521  3.21587e-06
T_pars_est[22]      11.9578  3.86943e-06
T_pars_est[23]      11.5453  5.32446e-06
T_pars_est[24]      11.0823  1.99325e-05
T_pars_est[25]      10.9377  4.21509e-05
T_pars_est[26]      11.7034  5.06624e-05
T_pars_est[27]      11.1559  -5.3408e-07
T_pars_est[28]      10.3212 -7.13163e-07
T_pars_est[29]      9.33747  7.33508e-06
T_pars_est[30]        8.379  1.46911e-06
T_pars_est[31]      7.60559  4.26312e-06
T_pars_est[32]      7.21103 -2.93384e-06
T_pars_est[33]      13.1894  1.44756e-05
T_pars_est[34]      13.3387   1.3943e-05
T_pars_est[35]      14.2674  3.19913e-05
T_pars_est[36]      14.4864  7.64367e-05
T_pars_est[37]       13.688  3.03851e-05
T_pars_est[38]      13.6992  3.07742e-05
T_pars_est[39]      13.3817  3.44048e-05
T_pars_est[40]      13.1101 -4.80626e-05
T_pars_est[41]      12.9698  1.79786e-05
T_pars_est[42]      12.3736  5.00002e-06
T_pars_est[43]      11.7615  1.54693e-06
T_pars_est[44]      11.6853  5.00356e-06
T_pars_est[45]      11.6539  3.36067e-05
T_pars_est[46]      10.5594  2.25268e-05
T_pars_est[47]      9.24588  8.88886e-06
T_pars_est[48]      8.30302 -3.65945e-06
T_pars_est[49]      7.56502 -8.07769e-06
T_pars_est[50]      7.01236  6.95058e-06
T_pars_est[51]      6.59312 -3.41741e-06
T_pars_est[52]      6.26701 -9.06101e-07
T_pars_est[53]       6.0297  1.16082e-06
T_pars_est[54]      5.90452  1.39913e-06
T_pars_est[55]      12.3757 -2.82708e-07
T_pars_est[56]      12.3857  2.03231e-06
T_pars_est[57]      12.4125  1.15492e-07
T_pars_est[58]      12.5768  2.35963e-06
T_pars_est[59]      13.6013 -2.81584e-06
T_pars_est[60]      13.6673 -2.49981e-06
T_pars_est[61]      13.0423  1.56622e-05
T_pars_est[62]      12.2184  8.87204e-05
T_pars_est[63]      11.1286  0.000120772
