ParName   Value   Gradient
T_pars_est[3]      14.3803  -0.00720226
T_pars_est[11]      9.61882  1.12067e-05
T_pars_est[12]      9.62939    3.382e-06
T_pars_est[13]      9.66569 -5.01706e-06
T_pars_est[14]      9.78541  1.42632e-05
T_pars_est[15]      10.2241 -1.19856e-05
T_pars_est[16]      10.7715 -1.15285e-05
T_pars_est[17]      11.2091 -4.76715e-06
T_pars_est[18]      11.4125  9.93952e-06
T_pars_est[19]      11.5052  2.45144e-05
T_pars_est[20]       11.542 -1.67845e-05
T_pars_est[21]      11.5074 -1.46965e-06
T_pars_est[22]      11.2665 -2.19074e-06
T_pars_est[23]      10.9574 -2.07011e-05
T_pars_est[24]      10.6961 -3.40267e-05
T_pars_est[25]      10.8223 -6.67557e-05
T_pars_est[26]      11.8689 -0.000114209
T_pars_est[27]      11.3668 -0.000184766
T_pars_est[28]      10.4002 -3.50252e-05
T_pars_est[29]      9.35048  2.21575e-05
T_pars_est[30]      8.35283 -2.99862e-05
T_pars_est[31]      7.53587 -8.19741e-06
T_pars_est[32]      7.14329 -7.50505e-06
T_pars_est[33]      12.2855  -9.9148e-06
T_pars_est[34]      12.4102 -1.22288e-05
T_pars_est[35]      13.2374  -4.6143e-05
T_pars_est[36]      13.7339 -2.15951e-05
T_pars_est[37]      13.0526 -2.47322e-05
T_pars_est[38]      13.1424   -2.188e-05
T_pars_est[39]      12.8583 -3.50997e-05
T_pars_est[40]      12.6187 -4.18231e-05
T_pars_est[41]      12.5665 -6.12539e-05
T_pars_est[42]      12.0406 -3.66188e-05
T_pars_est[43]      11.3684 -1.87675e-05
T_pars_est[44]      11.2479 -2.55913e-05
T_pars_est[45]      11.3995  3.31836e-06
T_pars_est[46]      10.4924 -1.59261e-05
T_pars_est[47]      9.11431 -2.17174e-05
T_pars_est[48]      8.05596  1.15481e-05
T_pars_est[49]      7.29302  3.67355e-06
T_pars_est[50]      6.76038  2.79211e-06
T_pars_est[51]      6.37243  1.47681e-06
T_pars_est[52]       6.0839 -1.46848e-05
T_pars_est[53]      5.88255  1.18126e-06
T_pars_est[54]      5.77763  7.21374e-06
T_pars_est[55]      12.1612  5.32419e-06
T_pars_est[56]      12.1812 -1.63738e-06
T_pars_est[57]      12.2288  1.47147e-05
T_pars_est[58]      12.3689 -1.85052e-05
T_pars_est[59]      13.5276 -4.53548e-06
T_pars_est[60]      13.5872  8.46429e-06
T_pars_est[61]      12.9908   4.7438e-05
T_pars_est[62]      12.1529  0.000141019
T_pars_est[63]      11.0261  0.000220867
T_pars_est[64]      9.97225  0.000124844
T_pars_est[65]      9.24625  7.95436e-05
T_pars_est[66]      8.82717  7.92533e-05
T_pars_est[67]      8.62863  4.60553e-05
T_pars_est[68]      8.57698  4.08885e-05
T_pars_est[69]      8.47798  5.21102e-05
T_pars_est[70]      8.28028  3.38879e-06
T_pars_est[71]      8.02415  7.01528e-06
T_pars_est[72]      7.76927  9.30059e-06
T_pars_est[73]      7.52817  1.97811e-05
T_pars_est[74]      7.29998  2.81188e-05
T_pars_est[75]      7.14313  3.48159e-05
T_pars_est[76]      7.05165  2.28601e-05
T_pars_est[77]     -13.8186 -1.46911e-05
T_pars_est[78]     -13.8699  2.13943e-06
T_pars_est[79]     -13.9673  8.15586e-06
T_pars_est[80]     -14.1227 -6.82118e-06
T_pars_est[81]     -13.6401  9.40835e-06
T_pars_est[82]     -13.4721 -2.14713e-05
T_pars_est[83]     -14.5953  1.42317e-05
T_pars_est[84]     -15.6152 -8.97942e-06
T_pars_est[85]     -16.4219  3.35049e-08
T_pars_est[86]     -17.0489 -1.68023e-06
T_pars_est[87]      -17.502 -2.27106e-06
T_pars_est[88]     -17.8434  1.51203e-05
T_pars_est[89]     -18.1138 -2.47607e-06
T_pars_est[90]     -18.3403 -4.30121e-06
T_pars_est[91]     -18.5368 -1.12662e-06
T_pars_est[92]       -18.71   -1.096e-06
T_pars_est[93]     -18.8638  3.78309e-06
G_pars_est[1]     0.987364 -1.89807e-05
G_pars_est[2]    -0.240923  0.000134675
G_pars_est[4]     -4.81374 -4.76135e-05
G_pars_est[5]    -0.426441  0.000544313
M_pars_est[1]     0.284932  0.000529468
M_pars_est[2]      1.58667 -6.76003e-05
M_pars_est[3]       0.4099 -4.88054e-05
M_pars_est[5]    0.0251005  0.000477159
M_pars_est[7]      2.34341  0.000374334
M_pars_est[9]     0.267844  0.000142136
M_pars_est[10]    -0.463698  1.32714e-05
M_pars_est[11]     0.907411 -1.84694e-05
M_pars_est[13]            1  5.49349e-06
M_pars_est[14]      1.66563 -0.000110583
M_pars_est[15]      1.10738 -3.43374e-06
S_pars_est[1]      4.66523   0.00287532
S_pars_est[2]      1.65715 -0.000899869
S_pars_est[3]      4.77631 -0.000447327
S_pars_est[4]       2.3854   0.00027463
S_pars_est[5]     -3.24312  1.16411e-06
S_pars_est[6]     -2.74539  3.85076e-06
S_pars_est[7]     -2.28886  -7.7322e-06
S_pars_est[8]     -1.53474 -1.22858e-06
S_pars_est[9]     -1.50658  5.97342e-06
S_pars_est[10]     -1.32236  9.65357e-06
S_pars_est[11]     -1.02048  4.49985e-06
S_pars_est[12]     -1.00186  3.07867e-06
S_pars_est[13]     -1.12644  1.22977e-05
S_pars_est[14]     -1.09829  3.28357e-06
S_pars_est[15]      -1.0335 -9.63691e-06
S_pars_est[16]    -0.997441  9.81969e-07
S_pars_est[17]    -0.977971  5.16298e-06
S_pars_est[18]    -0.870284  7.71625e-06
S_pars_est[19]    -0.859806  6.00713e-06
S_pars_est[20]    -0.984867  8.06202e-06
S_pars_est[21]    -0.842901  1.50505e-06
S_pars_est[22]    -0.742462  8.28395e-07
S_pars_est[23]    -0.514698  2.96174e-06
S_pars_est[24]    -0.333039  -6.2661e-06
S_pars_est[25]    -0.240504 -3.65884e-06
S_pars_est[26]    -0.320037 -3.39756e-06
S_pars_est[27]     -4.33117  1.35298e-05
S_pars_est[28]     -3.47944  6.87611e-05
S_pars_est[29]     -2.74667  4.06919e-05
S_pars_est[30]       -1.929 -2.51592e-05
S_pars_est[31]     -1.71942 -4.48147e-05
S_pars_est[32]     -1.49054 -1.13236e-05
S_pars_est[33]     -1.25409 -2.21419e-05
S_pars_est[34]     -1.16661 -9.61385e-06
S_pars_est[35]     -1.22562  4.28466e-06
S_pars_est[36]     -1.23661  1.49382e-05
S_pars_est[37]     -1.21171 -3.52347e-05
S_pars_est[38]     -1.15977 -3.42634e-06
S_pars_est[39]      -1.1255 -1.10105e-05
S_pars_est[40]    -0.983713 -7.84738e-06
S_pars_est[41]    -0.776986 -5.31976e-06
S_pars_est[42]    -0.457313  1.20867e-05
S_pars_est[43]    -0.314882  1.01435e-05
S_pars_est[44]    -0.203397  2.64446e-06
S_pars_est[45]    -0.162276  2.97025e-06
S_pars_est[46]    -0.132921 -2.67657e-06
S_pars_est[47]    -0.121976 -2.50507e-06
S_pars_est[48]    -0.153053 -3.47028e-06
S_pars_est[49]       4.2149   0.00189305
S_pars_est[50]     0.989535 -0.000354415
S_pars_est[51]     -5.15397 -1.62646e-05
S_pars_est[52]     -5.26367 -5.36005e-06
S_pars_est[53]     -4.05202  1.91867e-05
