ParName   Value   Gradient
T_pars_est[3]      14.3138   0.00177206
T_pars_est[11]      9.86488  1.40934e-05
T_pars_est[12]      9.87472 -4.93521e-06
T_pars_est[13]      9.90724  8.47019e-06
T_pars_est[14]      10.0257 -5.49615e-06
T_pars_est[15]      10.5498    8.117e-06
T_pars_est[16]      11.1783  4.48102e-06
T_pars_est[17]      11.6501 -2.17616e-05
T_pars_est[18]       11.815  -6.0993e-07
T_pars_est[19]      11.8476 -1.77129e-05
T_pars_est[20]       11.817   1.2922e-06
T_pars_est[21]      11.7275 -1.23738e-06
T_pars_est[22]      11.4092  4.43108e-06
T_pars_est[23]      11.0042 -8.29789e-06
T_pars_est[24]      10.6345 -1.18573e-05
T_pars_est[25]      10.6619  2.80822e-06
T_pars_est[26]      11.5361 -0.000111289
T_pars_est[27]      11.0782  6.58206e-05
T_pars_est[28]      10.2813  2.97605e-05
T_pars_est[29]      9.28519  4.47131e-06
T_pars_est[30]      8.29079  5.78949e-06
T_pars_est[31]      7.46366  3.21328e-06
T_pars_est[32]      7.05938  6.09899e-06
T_pars_est[33]      13.8474  0.000106689
T_pars_est[34]       13.756  8.67747e-05
T_pars_est[35]      13.4286   4.8598e-05
T_pars_est[36]      13.4652  4.35159e-05
T_pars_est[37]      12.9864  2.64216e-05
T_pars_est[38]      13.0404   2.5166e-05
T_pars_est[39]      12.7245  2.76024e-05
T_pars_est[40]       12.454  2.34128e-05
T_pars_est[41]       12.368   2.7249e-05
T_pars_est[42]      11.8569  4.12321e-05
T_pars_est[43]      11.2713  1.43367e-05
T_pars_est[44]      11.2169   2.9106e-05
T_pars_est[45]       11.305  5.71117e-05
T_pars_est[46]      10.3219  5.49096e-05
T_pars_est[47]      8.98167  2.49637e-06
T_pars_est[48]      7.96801  9.19531e-06
T_pars_est[49]      7.20742  6.59725e-06
T_pars_est[50]      6.65625   1.3775e-05
T_pars_est[51]      6.25307   -1.484e-06
T_pars_est[52]      5.95448  3.30459e-06
T_pars_est[53]      5.74678  9.10783e-06
T_pars_est[54]      5.63902  6.01156e-07
T_pars_est[55]      12.2424  -3.2922e-06
T_pars_est[56]      12.2597  3.86806e-06
T_pars_est[57]      12.3057 -8.37488e-06
T_pars_est[58]      12.4067 -1.54429e-05
T_pars_est[59]       13.551  1.40635e-05
T_pars_est[60]      13.6134  8.89735e-06
T_pars_est[61]      13.0015  1.26119e-06
T_pars_est[62]      12.1516  6.31146e-05
T_pars_est[63]       11.017  6.96873e-05
T_pars_est[64]      9.95476  5.42293e-05
T_pars_est[65]      9.22032  2.68433e-05
T_pars_est[66]      8.78792  2.28863e-05
T_pars_est[67]      8.57428  3.27981e-05
T_pars_est[68]      8.52457  2.45856e-05
T_pars_est[69]      8.42374  2.40191e-05
T_pars_est[70]      8.21454  3.27916e-05
T_pars_est[71]      7.94129    9.001e-06
T_pars_est[72]      7.66935  2.01486e-05
T_pars_est[73]      7.41628  2.12945e-05
T_pars_est[74]      7.17792  1.39046e-05
T_pars_est[75]      7.01367  3.01739e-05
T_pars_est[76]       6.9178  2.13428e-05
T_pars_est[77]     -13.8054 -2.51427e-06
T_pars_est[78]     -13.8532 -3.84298e-06
T_pars_est[79]     -13.9428 -6.59514e-06
T_pars_est[80]     -14.0908  4.09035e-06
