ParName   Value   Gradient
T_pars_est[3]      14.3892   0.00306127
T_pars_est[11]      9.61621 -4.38782e-06
T_pars_est[12]       9.6268   3.3576e-06
T_pars_est[13]      9.66307 -1.51726e-05
T_pars_est[14]      9.78285  -1.0383e-05
T_pars_est[15]      10.2215 -4.45046e-06
T_pars_est[16]       10.769 -1.52494e-05
T_pars_est[17]      11.2071 -1.37045e-05
T_pars_est[18]      11.4113  5.92312e-06
T_pars_est[19]      11.5046  2.38687e-06
T_pars_est[20]      11.5418  5.42586e-06
T_pars_est[21]      11.5077  6.87672e-06
T_pars_est[22]      11.2673  9.19987e-07
T_pars_est[23]      10.9589   6.3008e-06
T_pars_est[24]      10.6979  4.63318e-05
T_pars_est[25]      10.8234  6.65058e-05
T_pars_est[26]      11.8675   2.5409e-05
T_pars_est[27]      11.3642 -3.94835e-05
T_pars_est[28]      10.3964 -0.000167611
T_pars_est[29]      9.34648 -3.51612e-05
T_pars_est[30]      8.34856 -8.16676e-06
T_pars_est[31]      7.53156   1.9537e-05
T_pars_est[32]      7.13877  1.85932e-07
T_pars_est[33]      12.2826  2.68296e-05
T_pars_est[34]       12.408  1.43897e-05
T_pars_est[35]      13.2368  3.10101e-05
T_pars_est[36]      13.7336   2.8385e-05
T_pars_est[37]      13.0508  1.80591e-05
T_pars_est[38]      13.1404  3.70187e-05
T_pars_est[39]      12.8562   4.5211e-05
T_pars_est[40]      12.6165  5.39349e-05
T_pars_est[41]      12.5635  4.33973e-05
T_pars_est[42]      12.0368  8.52618e-05
T_pars_est[43]      11.3645  4.34074e-05
T_pars_est[44]      11.2436  1.66751e-05
T_pars_est[45]       11.394 -2.91501e-05
T_pars_est[46]      10.4865 -5.86721e-06
T_pars_est[47]        9.109 -6.67082e-07
T_pars_est[48]      8.05082  6.53324e-06
T_pars_est[49]      7.28801 -2.26157e-05
T_pars_est[50]      6.75536 -1.60497e-05
T_pars_est[51]      6.36734   8.6416e-06
T_pars_est[52]      6.07874  1.02223e-05
T_pars_est[53]      5.87733 -2.36607e-05
T_pars_est[54]      5.77238   8.5408e-06
T_pars_est[55]       12.161  3.27189e-06
T_pars_est[56]       12.181  1.27982e-06
T_pars_est[57]      12.2287 -1.21166e-05
T_pars_est[58]      12.3686  2.20063e-05
T_pars_est[59]      13.5273  -1.1332e-06
T_pars_est[60]       13.587 -2.10278e-05
T_pars_est[61]      12.9907  8.76022e-05
T_pars_est[62]      12.1528  1.05816e-05
T_pars_est[63]      11.0262  3.62918e-05
T_pars_est[64]      9.97246 -1.00607e-05
T_pars_est[65]      9.24665  6.49092e-06
T_pars_est[66]      8.82757 -1.28396e-06
T_pars_est[67]       8.6289  3.30478e-05
T_pars_est[68]      8.57672  1.81089e-05
T_pars_est[69]       8.4774 -5.56877e-06
T_pars_est[70]      8.27967  6.92744e-06
T_pars_est[71]      8.02352  1.10165e-05
T_pars_est[72]      7.76844 -1.58956e-06
T_pars_est[73]      7.52698 -8.41004e-07
T_pars_est[74]      7.29839 -1.01719e-05
T_pars_est[75]      7.14121 -1.07983e-05
T_pars_est[76]      7.04951  1.75807e-05
T_pars_est[77]     -13.8191  3.42904e-06
T_pars_est[78]     -13.8703  4.75766e-06
T_pars_est[79]     -13.9676 -4.55923e-06
T_pars_est[80]     -14.1229 -9.19709e-08
T_pars_est[81]     -13.6403  1.06876e-05
