crab_year,fishery,size,sex,total,target_stock
1990,QO91,6,1,1,BSSC
1990,QO91,38,1,1,BSSC
1990,QO91,54,2,3,BSSC
1990,QO91,55,2,1,BSSC
1990,QO91,56,2,2,BSSC
1990,QO91,57,2,1,BSSC
1990,QO91,58,2,3,BSSC
1990,QO91,59,2,2,BSSC
1990,QO91,60,2,5,BSSC
1990,QO91,61,2,2,BSSC
1990,QO91,62,1,1,BSSC
1990,QO91,62,2,8,BSSC
1990,QO91,63,1,1,BSSC
1990,QO91,63,2,4,BSSC
1990,QO91,64,2,9,BSSC
1990,QO91,65,1,1,BSSC
1990,QO91,65,2,9,BSSC
1990,QO91,66,1,1,BSSC
1990,QO91,66,2,11,BSSC
1990,QO91,67,1,3,BSSC
1990,QO91,67,2,3,BSSC
1990,QO91,68,1,2,BSSC
1990,QO91,68,2,4,BSSC
1990,QO91,69,1,2,BSSC
1990,QO91,69,2,6,BSSC
1990,QO91,70,1,7,BSSC
1990,QO91,70,2,11,BSSC
1990,QO91,71,1,4,BSSC
1990,QO91,71,2,6,BSSC
1990,QO91,72,1,2,BSSC
1990,QO91,72,2,12,BSSC
1990,QO91,73,1,8,BSSC
1990,QO91,73,2,4,BSSC
1990,QO91,74,1,9,BSSC
1990,QO91,74,2,2,BSSC
1990,QO91,75,1,8,BSSC
1990,QO91,75,2,5,BSSC
1990,QO91,76,1,7,BSSC
1990,QO91,76,2,6,BSSC
1990,QO91,77,1,12,BSSC
1990,QO91,77,2,2,BSSC
1990,QO91,78,1,19,BSSC
1990,QO91,78,2,3,BSSC
1990,QO91,79,1,21,BSSC
1990,QO91,79,2,3,BSSC
1990,QO91,80,1,23,BSSC
1990,QO91,80,2,7,BSSC
1990,QO91,81,1,25,BSSC
1990,QO91,81,2,2,BSSC
1990,QO91,82,1,32,BSSC
1990,QO91,82,2,5,BSSC
1990,QO91,83,1,23,BSSC
1990,QO91,83,2,1,BSSC
1990,QO91,84,1,31,BSSC
1990,QO91,84,2,4,BSSC
1990,QO91,85,1,53,BSSC
1990,QO91,85,2,6,BSSC
1990,QO91,86,1,53,BSSC
1990,QO91,86,2,10,BSSC
1990,QO91,87,1,78,BSSC
1990,QO91,87,2,4,BSSC
1990,QO91,88,1,71,BSSC
1990,QO91,88,2,4,BSSC
1990,QO91,89,1,107,BSSC
1990,QO91,89,2,2,BSSC
1990,QO91,90,1,119,BSSC
1990,QO91,91,1,128,BSSC
1990,QO91,91,2,1,BSSC
1990,QO91,92,1,149,BSSC
1990,QO91,92,2,2,BSSC
1990,QO91,93,1,155,BSSC
1990,QO91,94,1,176,BSSC
1990,QO91,95,1,253,BSSC
1990,QO91,96,1,238,BSSC
1990,QO91,97,1,264,BSSC
1990,QO91,98,1,270,BSSC
1990,QO91,99,1,277,BSSC
1990,QO91,100,1,328,BSSC
1990,QO91,101,1,280,BSSC
1990,QO91,101,2,1,BSSC
1990,QO91,102,1,258,BSSC
1990,QO91,103,1,284,BSSC
1990,QO91,104,1,232,BSSC
1990,QO91,105,1,274,BSSC
1990,QO91,106,1,262,BSSC
1990,QO91,107,1,228,BSSC
1990,QO91,108,1,259,BSSC
1990,QO91,109,1,219,BSSC
1990,QO91,110,1,271,BSSC
1990,QO91,111,1,211,BSSC
1990,QO91,112,1,253,BSSC
1990,QO91,112,2,1,BSSC
1990,QO91,113,1,244,BSSC
1990,QO91,114,1,220,BSSC
1990,QO91,115,1,254,BSSC
1990,QO91,116,1,215,BSSC
1990,QO91,116,2,1,BSSC
1990,QO91,117,1,228,BSSC
1990,QO91,118,1,233,BSSC
1990,QO91,119,1,204,BSSC
1990,QO91,120,1,235,BSSC
1990,QO91,121,1,211,BSSC
1990,QO91,121,2,1,BSSC
1990,QO91,122,1,237,BSSC
1990,QO91,123,1,174,BSSC
1990,QO91,124,1,182,BSSC
1990,QO91,125,1,158,BSSC
1990,QO91,126,1,115,BSSC
1990,QO91,127,1,171,BSSC
1990,QO91,128,1,115,BSSC
1990,QO91,129,1,85,BSSC
1990,QO91,129,2,1,BSSC
1990,QO91,130,1,100,BSSC
1990,QO91,131,1,98,BSSC
1990,QO91,132,1,76,BSSC
1990,QO91,133,1,59,BSSC
1990,QO91,134,1,62,BSSC
1990,QO91,135,1,48,BSSC
1990,QO91,136,1,42,BSSC
1990,QO91,137,1,36,BSSC
1990,QO91,138,1,40,BSSC
1990,QO91,139,1,25,BSSC
1990,QO91,140,1,28,BSSC
1990,QO91,141,1,19,BSSC
1990,QO91,142,1,16,BSSC
1990,QO91,143,1,10,BSSC
1990,QO91,144,1,10,BSSC
1990,QO91,145,1,8,BSSC
1990,QO91,146,1,4,BSSC
1990,QO91,147,1,8,BSSC
1990,QO91,148,1,4,BSSC
1990,QO91,149,1,4,BSSC
1990,QO91,150,1,4,BSSC
1990,QO91,151,1,2,BSSC
1990,QO91,162,1,1,BSSC
1990,QO91,190,1,1,BSSC
1990,TR90,107,1,1,BBRKC
1990,TR90,112,1,1,BBRKC
1991,QO92,41,1,1,BSSC
1991,QO92,57,2,1,BSSC
1991,QO92,58,2,2,BSSC
1991,QO92,59,2,1,BSSC
1991,QO92,60,2,1,BSSC
1991,QO92,61,2,2,BSSC
1991,QO92,62,2,3,BSSC
1991,QO92,64,2,2,BSSC
1991,QO92,65,2,2,BSSC
1991,QO92,66,2,2,BSSC
1991,QO92,67,2,1,BSSC
1991,QO92,68,2,4,BSSC
1991,QO92,69,2,5,BSSC
1991,QO92,70,1,2,BSSC
1991,QO92,70,2,3,BSSC
1991,QO92,71,1,4,BSSC
1991,QO92,71,2,6,BSSC
1991,QO92,72,1,1,BSSC
1991,QO92,72,2,7,BSSC
1991,QO92,73,1,1,BSSC
1991,QO92,74,1,3,BSSC
1991,QO92,74,2,7,BSSC
1991,QO92,75,1,2,BSSC
1991,QO92,75,2,7,BSSC
1991,QO92,76,1,1,BSSC
1991,QO92,76,2,2,BSSC
1991,QO92,77,1,4,BSSC
1991,QO92,77,2,1,BSSC
1991,QO92,78,1,3,BSSC
1991,QO92,78,2,4,BSSC
1991,QO92,79,1,1,BSSC
1991,QO92,79,2,3,BSSC
1991,QO92,80,1,4,BSSC
1991,QO92,80,2,10,BSSC
1991,QO92,81,1,7,BSSC
1991,QO92,81,2,1,BSSC
1991,QO92,82,1,2,BSSC
1991,QO92,82,2,10,BSSC
1991,QO92,83,1,5,BSSC
1991,QO92,83,2,2,BSSC
1991,QO92,84,1,7,BSSC
1991,QO92,84,2,2,BSSC
1991,QO92,85,1,6,BSSC
1991,QO92,85,2,1,BSSC
1991,QO92,86,1,7,BSSC
1991,QO92,86,2,6,BSSC
1991,QO92,87,1,12,BSSC
1991,QO92,87,2,3,BSSC
1991,QO92,88,1,7,BSSC
1991,QO92,88,2,4,BSSC
1991,QO92,89,1,15,BSSC
1991,QO92,89,2,1,BSSC
1991,QO92,90,1,16,BSSC
1991,QO92,90,2,4,BSSC
1991,QO92,91,1,14,BSSC
1991,QO92,91,2,2,BSSC
1991,QO92,92,1,16,BSSC
1991,QO92,93,1,16,BSSC
1991,QO92,93,2,2,BSSC
1991,QO92,94,1,23,BSSC
1991,QO92,94,2,2,BSSC
1991,QO92,95,1,25,BSSC
1991,QO92,96,1,23,BSSC
1991,QO92,97,1,32,BSSC
1991,QO92,98,1,29,BSSC
1991,QO92,98,2,2,BSSC
1991,QO92,99,1,28,BSSC
1991,QO92,100,1,46,BSSC
1991,QO92,101,1,48,BSSC
1991,QO92,101,2,1,BSSC
1991,QO92,102,1,69,BSSC
1991,QO92,102,2,1,BSSC
1991,QO92,103,1,76,BSSC
1991,QO92,103,2,1,BSSC
1991,QO92,104,1,78,BSSC
1991,QO92,105,1,103,BSSC
1991,QO92,106,1,111,BSSC
1991,QO92,107,1,119,BSSC
1991,QO92,107,2,1,BSSC
1991,QO92,108,1,103,BSSC
1991,QO92,109,1,183,BSSC
1991,QO92,110,1,144,BSSC
1991,QO92,111,1,149,BSSC
1991,QO92,112,1,193,BSSC
1991,QO92,113,1,155,BSSC
1991,QO92,114,1,178,BSSC
1991,QO92,115,1,230,BSSC
1991,QO92,116,1,199,BSSC
1991,QO92,117,1,182,BSSC
1991,QO92,118,1,253,BSSC
1991,QO92,119,1,227,BSSC
1991,QO92,120,1,220,BSSC
1991,QO92,121,1,203,BSSC
1991,QO92,122,1,187,BSSC
1991,QO92,123,1,176,BSSC
1991,QO92,124,1,188,BSSC
1991,QO92,125,1,189,BSSC
