ParName   Value   Gradient
theta[3]       14.382  -0.00202317
theta[11]      9.52897 -8.09367e-06
theta[12]      9.53897 -3.00006e-06
theta[13]      9.57516  1.80004e-05
theta[14]      9.69006  1.47323e-05
theta[15]      10.1779 -2.07917e-05
theta[16]      10.7652  1.87057e-06
theta[17]      11.2376 -5.71911e-07
theta[18]      11.4498 -2.72367e-06
theta[19]      11.5463  2.56525e-05
theta[20]      11.5819 -2.00232e-05
theta[21]       11.545  1.30525e-05
theta[22]      11.2999 -1.10543e-05
theta[23]      10.9849 -8.70786e-05
theta[24]      10.7132 -0.000108982
theta[25]      10.8282 -3.83912e-05
theta[26]      11.8503 -7.08962e-05
theta[27]      11.3442  -0.00026028
theta[28]      10.3688 -7.53366e-05
theta[29]      9.31549   4.7843e-05
theta[30]      8.31444  6.49867e-05
theta[31]      7.49526 -5.35991e-05
theta[32]      7.10085  1.89373e-07
theta[33]       13.935  0.000507197
theta[34]      13.8108  0.000270037
theta[35]      13.4915  7.84679e-05
theta[36]      13.5467  2.85994e-05
theta[37]      13.0749  2.06106e-05
theta[38]      13.1532 -1.39655e-05
theta[39]      12.8536  1.33841e-05
theta[40]      12.6064 -1.69251e-05
theta[41]      12.5531 -1.50242e-05
theta[42]      12.0096   9.7081e-06
theta[43]      11.3352 -3.07911e-05
theta[44]       11.218 -1.77306e-05
theta[45]      11.3717  4.36085e-05
theta[46]      10.4622 -6.32252e-05
theta[47]      9.08567 -6.35557e-06
theta[48]      8.02591  3.02858e-05
theta[49]      7.26217 -1.34459e-05
theta[50]       6.7283 -2.01592e-07
theta[51]      6.33892 -8.63079e-06
theta[52]      6.04915  1.51171e-05
theta[53]      5.84687 -3.62434e-06
theta[54]      5.74145 -1.34502e-05
theta[55]      12.1573  5.99667e-06
theta[56]      12.1765 -9.09641e-06
theta[57]      12.2234 -3.64896e-05
theta[58]      12.3624   1.2545e-05
theta[59]      13.5229 -5.56738e-05
theta[60]      13.5848   5.9984e-07
theta[61]      12.9917 -9.80873e-06
theta[62]      12.1529  5.51539e-05
theta[63]      11.0251  2.71202e-05
theta[64]      9.97108  5.16716e-05
theta[65]      9.24444 -2.30177e-05
theta[66]      8.82577   2.4447e-06
theta[67]      8.62877   3.2379e-06
theta[68]      8.57979  2.20469e-05
theta[69]      8.48177  4.53632e-06
theta[70]       8.2825  3.53702e-05
theta[71]      8.02308  1.38065e-05
theta[72]      7.76431 -4.49092e-06
theta[73]       7.5193  1.76993e-05
theta[74]      7.28693  1.34521e-06
theta[75]      7.12667  1.24946e-05
theta[76]      7.03292  4.20596e-06
theta[77]      -13.825  1.35122e-05
theta[78]      -13.876  1.53995e-05
theta[79]     -13.9731  4.33534e-07
theta[80]     -14.1281 -1.52556e-06
theta[81]     -13.6461  2.08779e-05
theta[82]     -13.4762 -6.03001e-05
theta[83]     -14.5969  2.95766e-07
theta[84]     -15.6167 -8.31853e-06
theta[85]     -16.4231  1.14631e-05
theta[86]     -17.0498  -1.0947e-05
theta[87]     -17.5027 -6.53622e-06
theta[88]     -17.8439 -7.33091e-06
theta[89]     -18.1141 -8.22974e-10
theta[90]     -18.3406  1.86984e-05
theta[91]     -18.5369 -7.50843e-06
theta[92]     -18.7101 -2.50157e-05
theta[93]     -18.8638   5.6907e-06
G_pars_est[1]     0.984116  0.000859194
G_pars_est[2]    -0.240991  -0.00198761
G_pars_est[4]     -4.81138 -2.16316e-06
G_pars_est[5]    -0.426361  0.000233948
M_pars_est[1]     0.285242 -0.000180949
M_pars_est[2]      1.54745  8.87976e-05
M_pars_est[3]     0.311671  3.51338e-05
M_pars_est[5]    0.0625025 -0.000226875
M_pars_est[7]      2.27757  2.79043e-05
M_pars_est[9]     0.267452  0.000536447
M_pars_est[10]    -0.824664  -8.3911e-06
M_pars_est[11]      1.06105   0.00017884
M_pars_est[13]            1  1.24458e-05
M_pars_est[14]      1.77759  0.000120051
M_pars_est[15]     0.787448 -1.84814e-05
S_pars_est[1]      4.66875   0.00228335
S_pars_est[2]      1.67229  -0.00100011
