"","Catch: Pot retained M","Catch: Pot discarded M","Catch: Pot discarded F","Catch: Trawl bycatch","Index: NMFS 1982 F mature","Index: NMFS 1989 F mature","Index: NMFS 1982 M mature","Index: NMFS 1989 M mature","Size: Pot M retained","Size: Pot M total","Size: Pot F discarded","Size: Trawl F discarded","Size: Trawl M discarded","Size: NMFS 1982 F immature","Size: NMFS 1989 F immature","Size: NMFS 1982 M immature","Size: NMFS 1989 M immature","Size: NMFS 1982 F mature","Size: NMFS 1989 F mature","Size: NMFS 1982 M mature","Size: NMFS 1989 M mature","SRR","Tag","Growth","Penalties","Priors","Positive_growth_penalty","Total","Initial_size_structure"
"Model 25",120.98,377.21,-71.403,-54.106,51.839,7.6706,95.059,-12.509,-3645.2,-2639,-2528.8,-2605.7,-2543,-635.48,-3167.9,-581.38,-3002.6,-684.25,-3401.6,-575.55,-2976,185.42,7965.1,0,760.35,386.98,0,-19174,0
"Model 25.1a",119.88,376.33,-71.403,-54.106,51.378,19.709,94.381,-12.257,-3644.8,-2637.9,-2529.5,-2594.9,-2542.5,-634.39,-3172.6,-581.1,-3000.1,-684.49,-3399,-575.49,-2975.2,172.95,0,7965.7,756.55,383.57,0,-19169,0
"Model 25.1b",121.89,380.23,-71.403,-54.106,49.492,20.077,96.008,-12.442,-3645.7,-2651.3,-2529.5,-2597.2,-2543.1,-632.08,-3162.6,-582.06,-3011.2,-684.49,-3398.5,-575.41,-2976.3,171.41,0,7965.9,756.98,392.27,0,-19173,0
"Model 25.1c",120.99,377,-71.403,-54.106,51.818,7.633,94.949,-12.144,-3650.3,-2655.8,-2529,-2605.6,-2542.7,-635.49,-3167.7,-581.47,-3000,-684.25,-3401.6,-575.69,-2974.6,183.86,0,7965.2,760.25,386.44,0,-19194,0
"Model 25.1d",139.26,306.92,-71.403,-54.087,42.015,3.5297,108.89,32.529,-3674.1,-2701.3,-2534.8,-2581.1,-2526.7,-632.74,-3163.6,-577.97,-2940.1,-682.53,-3405,-587.16,-2952,170.56,0,7964.9,759.27,433.03,0,-19124,0
"Model 25.1e",141.03,319.32,-71.403,-54.089,42.136,3.9603,110.81,35.035,-3678.2,-2701.7,-2534.7,-2583.4,-2522.7,-632.81,-3159.2,-578.97,-2948.8,-682.51,-3406.2,-586.81,-2960.4,173.49,0,7965.7,760.44,431.24,0,-19119,0
"Model 25.2a",122.73,375.79,-71.403,-54.107,49.05,21.176,84.924,-9.5883,-3670.8,-2652.4,-2529,-2593.6,-2594.7,-631.91,-3174.6,-573.63,-2989.7,-684.67,-3398.3,-581.72,-2937.5,179.88,0,7970.6,755.01,391.09,0,-19197,0
"Model 25.2b",123.71,377.7,-71.403,-54.107,50.087,21.064,86.103,-9.6367,-3671.8,-2664.8,-2529.2,-2593.3,-2594.5,-632.65,-3173.5,-577.51,-2990.2,-684.78,-3398.4,-582.54,-2937.5,179.75,0,7970.5,755.04,392.36,0,-19209,0
"Model 25.2c",122.69,378.2,-71.403,-54.107,49.745,11.061,85.976,-10.715,-3678.7,-2669.3,-2529.1,-2600.4,-2594.3,-632.8,-3167.2,-577.52,-2984.6,-684.41,-3398.7,-582.42,-2938,185.33,0,7970,758.13,390.01,0,-19222,0
"Model 25.2d",158.06,409.1,-71.403,-54.093,50.863,5.4406,120.7,186.45,-3685.2,-2708.7,-2529.8,-2598.8,-2576.4,-635.58,-3156.1,-596.87,-2987.4,-684.1,-3402.2,-576.8,-2905.2,178.29,0,7970.3,758.95,429.12,0,-18901,0
"Model 25.3a",246.99,780.26,-71.403,-54.104,50.533,17.199,92.461,-4.2087,-3660.1,-2666.1,-2500.3,-2586.7,-2527.9,-633.04,-3175.5,-579.61,-2991.9,-684.42,-3398.3,-582.22,-2959,170.19,0,7963.7,752.64,384.95,0,-18616,0
"Model 25.3b",119.85,371.27,-71.403,-54.106,57.184,8.5485,92.263,-7.3371,-3643.7,-2635.7,-2525.8,-2586,-2544.1,-652.17,-3219.1,-574.07,-3001.5,-672.67,-3373.7,-574.26,-2972.7,177.1,0,7965.7,750.47,363.64,0,-19202,0
"Model 25.3c",246.32,779.9,-71.403,-54.104,57.267,8.6434,90.841,0.66055,-3661.8,-2665.1,-2496.8,-2583.8,-2529.3,-652.01,-3219.4,-575.22,-2996.2,-672.49,-3372,-580.88,-2964.2,177.18,0,7963.7,750.43,366.69,0,-18653,0
"Model 25.3d",263.67,810.41,-71.403,-54.107,55.93,13.139,85.894,3.8063,-3689.6,-2676.9,-2499,-2605.5,-2583.6,-651.55,-3215.4,-578.95,-2983.1,-671.98,-3371.6,-583.45,-2926.7,184.5,0,7966.3,753.74,383.36,0,-18642,0
